"district","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"Beira","Testados","LR","FB",17971,21205,1.17995659673919,1.15668454377947,1.2037066514467,"medium",-0.179956596739191
"Chimoio","Testados","LR","FB",15713,5527,0.351746961115,0.341067966335118,0.36271937129821,"low",0.648253038885
"Dondo","Testados","LR","FB",10330,24684,2.38954501452081,2.33519149280754,2.44529561611472,"low",-1.38954501452081
"Gondola","Testados","LR","FB",13929,8998,0.645990379783186,0.629021508829261,0.663391946383205,"low",0.354009620216814
"Manica","Testados","LR","FB",39895,18350,0.459957388143878,0.451961780224767,0.468081277230223,"low",0.540042611856122
"Nhamatanda","Testados","LR","FB",16498,13591,0.823796823857437,0.805244640086549,0.842765962009844,"medium",0.176203176142563
"Beira","Positivos","LR","FB",2556,2878,1.12597809076682,1.06719462258743,1.1880501241497,"high",-0.125978090766823
"Chimoio","Positivos","LR","FB",6677,2773,0.415306275273326,0.397175985920008,0.434175431181988,"low",0.584693724726674
"Dondo","Positivos","LR","FB",4146,6942,1.67438494934877,1.61096013039928,1.74047024382523,"low",-0.67438494934877
"Gondola","Positivos","LR","FB",10780,5126,0.475510204081633,0.459869167098284,0.491634738676346,"low",0.524489795918367
"Manica","Positivos","LR","FB",14362,3405,0.2370839715917,0.228324054387443,0.246126705148436,"low",0.7629160284083
"Nhamatanda","Positivos","LR","FB",6009,4056,0.674987518721917,0.648472223225891,0.70253255153813,"low",0.325012481278083
"Beira","Tratados_ACTs","LR","FB",2966,2686,0.905596763317599,0.859212933489807,0.95445193301818,"high",0.0944032366824005
"Chimoio","Tratados_ACTs","LR","FB",6203,2776,0.447525390939868,0.427784552006449,0.468086875949661,"low",0.552474609060132
"Dondo","Tratados_ACTs","LR","FB",2492,5040,2.02247191011236,1.92730311698884,2.12275825024307,"low",-1.02247191011236
"Gondola","Tratados_ACTs","LR","FB",10367,207,0.019967203626893,0.0173161317773616,0.02291367756362,"low",0.980032796373107
"Manica","Tratados_ACTs","LR","FB",16954,8276,0.488144390704259,0.475425145473334,0.501174152300325,"low",0.511855609295741
