"Unidade_Sanitaria","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"CS Cheadeia","Testados","LR","FB",1113,1093,0.982030548068284,0.902565896668539,1.06847413821463,"high",0.0179694519317161
"CS Dondo","Testados","LR","FB",6506,17258,2.65262834306794,2.57790554797145,2.72976834610136,"low",-1.65262834306794
"CS Mafambisse","Testados","LR","FB",3824,7426,1.94194560669456,1.86739096442809,2.01972443923504,"low",-0.941945606694561
"CS Messica","Testados","LR","FB",18168,16472,0.906649053280493,0.887677080332616,0.926021480738694,"high",0.0933509467195068
"CS Munhava","Testados","LR","FB",17971,21205,1.17995659673919,1.15668454377947,1.2037066514467,"medium",-0.179956596739191
"CS Vila Nova","Testados","LR","FB",11314,921,0.0814035707972424,0.0760341306814361,0.0870669869411162,"low",0.918596429202758
"Eduardo Mondlane","Testados","LR","FB",4399,4606,1.0470561491248,1.0044557244987,1.09147411141629,"high",-0.0470561491248011
"HD Gondola","Testados","LR","FB",13929,8998,0.645990379783186,0.629021508829261,0.663391946383205,"low",0.354009620216814
"HD Manica","Testados","LR","FB",21727,1878,0.0864362314171308,0.0824127416518367,0.0906133540220886,"low",0.913563768582869
"HR Nhamatanda","Testados","LR","FB",15385,12498,0.812349691257719,0.793337820467599,0.831805193721616,"medium",0.187650308742281
"CS Cheadeia","Positivos","LR","FB",334,338,1.01197604790419,0.867369242369835,1.18073432301062,"high",-0.0119760479041916
"CS Dondo","Positivos","LR","FB",2472,4978,2.01375404530744,1.91855271992414,2.11409751398061,"low",-1.01375404530744
"CS Mafambisse","Positivos","LR","FB",1674,1964,1.17323775388292,1.09862376563345,1.25302749922862,"high",-0.173237753882915
"CS Messica","Positivos","LR","FB",3615,2458,0.679944674965422,0.645720183159134,0.715892450840974,"low",0.320055325034578
"CS Munhava","Positivos","LR","FB",2556,2878,1.12597809076682,1.06719462258743,1.1880501241497,"high",-0.125978090766823
"CS Vila Nova","Positivos","LR","FB",5202,534,0.102652825836217,0.0937304117792918,0.112237393677046,"low",0.897347174163783
"Eduardo Mondlane","Positivos","LR","FB",1475,2239,1.51796610169492,1.42076249436513,1.62218777492252,"low",-0.517966101694915
"HD Gondola","Positivos","LR","FB",10780,5126,0.475510204081633,0.459869167098284,0.491634738676346,"low",0.524489795918367
"HD Manica","Positivos","LR","FB",10747,947,0.0881176142179213,0.0823672865389005,0.0941804418962598,"low",0.911882385782079
"HR Nhamatanda","Positivos","LR","FB",5675,3718,0.655154185022026,0.628445475827002,0.682936697133683,"low",0.344845814977974
