"province","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"Manica","Testados","LR","FB",69537,32875,0.472769892287559,0.466594361086533,0.479019831989701,"low",0.527230107712441
"Sofala","Testados","LR","FB",44799,59480,1.32770820777249,1.31150630332729,1.34411732456434,"low",-0.327708207772495
"Manica","Positivos","LR","FB",31819,11304,0.355259436185927,0.347686204960863,0.362977794432728,"low",0.644740563814073
"Sofala","Positivos","LR","FB",12711,13876,1.0916528990638,1.06562032294183,1.11832852331891,"high",-0.091652899063803
"Manica","Tratados_ACTs","LR","FB",33524,11259,0.335848944040091,0.328726110855231,0.34310672834394,"low",0.664151055959909
"Sofala","Tratados_ACTs","LR","FB",11177,12170,1.08884316006084,1.06115266752303,1.11726405841834,"high",-0.0888431600608392
"Manica","Testados","LR","RMUS",91339,107445,1.17633212537908,1.16599043452468,1.1867673946277,"medium",-0.176332125379082
"Sofala","Testados","LR","RMUS",49386,79247,1.60464504110477,1.58669505557271,1.62280988850093,"low",-0.604645041104767
"Manica","Positivos","LR","RMUS",49187,60942,1.23898591091142,1.22433366668525,1.25381819248369,"low",-0.23898591091142
"Sofala","Positivos","LR","RMUS",15485,25424,1.64184694865999,1.6093053089546,1.67508708627785,"low",-0.641846948659994
"Manica","Tratados_ACTs","LR","RMUS",48987,56130,1.14581419560292,1.13199226856916,1.15980776401625,"medium",-0.145814195602915
"Sofala","Tratados_ACTs","LR","RMUS",16302,27357,1.67813765182186,1.64584704675326,1.71110236546899,"low",-0.678137651821862
"Manica","Obitos","LR","RMUS",16,8,0.5,0.185258633585974,1.23823613356806,"high",0.5
"Sofala","Obitos","LR","RMUS",8,12,1.5,0.563825800047235,4.23039741818353,"high",-0.5
"Manica","Testados","LR","NEP_FISICO",83239,124566,1.4964860221771,1.48340077382397,1.50969242262354,"low",-0.496486022177104
"Sofala","Testados","LR","NEP_FISICO",61536,94802,1.54059412376495,1.52502555034677,1.55633008327355,"low",-0.540594123764951
"Manica","Positivos","LR","NEP_FISICO",62480,91361,1.46224391805378,1.4474250400744,1.47722163022,"low",-0.462243918053777
"Sofala","Positivos","LR","NEP_FISICO",18455,30359,1.64502844757518,1.61515316275177,1.67549037442761,"low",-0.645028447575183
"Manica","Tratados_ACTs","LR","NEP_FISICO",63729,88365,1.38657440097915,1.37250702504599,1.40079179455379,"low",-0.386574400979146
"Sofala","Tratados_ACTs","LR","NEP_FISICO",19177,28763,1.49986963550086,1.47266085408198,1.52760651199863,"low",-0.49986963550086
"Manica","Obitos","LR","NEP_FISICO",16,8,0.5,0.185258633585974,1.23823613356806,"high",0.5
"Sofala","Obitos","LR","NEP_FISICO",6,10,1.66666666666667,0.54881739454367,5.5796540284096,"high",-0.666666666666667
"Manica","Testados","LR","SIS_MA",87771,122662,1.39752309988493,1.3854543045125,1.40970137434386,"low",-0.397523099884928
"Sofala","Testados","LR","SIS_MA",52432,85494,1.63056911809582,1.61291860647274,1.64842436466599,"low",-0.630569118095819
"Manica","Positivos","LR","SIS_MA",65232,82834,1.26983688987,1.25685988043864,1.28295186607856,"low",-0.269836889870002
"Sofala","Positivos","LR","SIS_MA",15577,26339,1.69089041535597,1.6576586469892,1.72483169490078,"low",-0.690890415355974
"Manica","Tratados_ACTs","LR","SIS_MA",63566,76907,1.2098763489916,1.19721593403493,1.22267382414284,"medium",-0.209876348991599
"Sofala","Tratados_ACTs","LR","SIS_MA",16517,28342,1.71592904280438,1.68326010768703,1.74927429646475,"low",-0.715929042804383
"Manica","Obitos","LR","SIS_MA",22,10,0.454545454545455,0.192157592639203,1.00031037468743,"high",0.545454545454545
"Sofala","Obitos","LR","SIS_MA",7,11,1.57142857142857,0.556302041450214,4.78081948501169,"high",-0.571428571428571
