"district","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"Beira","Apr","Testados","LR","FB",4961,4654,0.938117315057448,0.901142386395729,0.976596809363067,"high",0.0618826849425519
"Beira","Feb","Testados","LR","FB",1360,4508,3.31470588235294,3.11897470050532,3.52448866023249,"low",-2.31470588235294
"Beira","Jul","Testados","LR","FB",2960,3499,1.18209459459459,1.1253063596876,1.24181142117139,"medium",-0.182094594594595
"Beira","Jun","Testados","LR","FB",3268,10,0.00305997552019584,0.00146598609352621,0.00563462900655024,"low",0.996940024479804
"Beira","Mar","Testados","LR","FB",1670,3538,2.1185628742515,1.9982283613111,2.24683737885609,"low",-1.1185628742515
"Beira","May","Testados","LR","FB",3752,4996,1.33155650319829,1.27609688273038,1.3895157089584,"low",-0.331556503198294
"Chimoio","Jul","Testados","LR","FB",6180,4705,0.761326860841424,0.732841248023712,0.790880951315393,"low",0.238673139158576
"Chimoio","Jun","Testados","LR","FB",2919,186,0.0637204522096608,0.0546445146880294,0.0739228352694033,"low",0.936279547790339
"Chimoio","Mar","Testados","LR","FB",3510,604,0.172079772079772,0.157585497329001,0.187652287727378,"low",0.827920227920228
"Chimoio","May","Testados","LR","FB",3104,32,0.0103092783505155,0.00703896186318061,0.0145844786896212,"low",0.989690721649485
"Dondo","Apr","Testados","LR","FB",2073,3462,1.67004341534009,1.58110957678488,1.76431226734844,"low",-0.670043415340087
"Dondo","Feb","Testados","LR","FB",1205,2722,2.25892116182573,2.11001879435961,2.41942899673593,"low",-1.25892116182573
"Dondo","Jul","Testados","LR","FB",1871,4972,2.6574024585783,2.51930986571572,2.80397440916526,"low",-1.6574024585783
"Dondo","Jun","Testados","LR","FB",2785,5333,1.9149012567325,1.82878815220834,2.00540292403057,"low",-0.914901256732496
"Dondo","Mar","Testados","LR","FB",1077,2493,2.31476323119777,2.15422693610435,2.48855256462486,"low",-1.31476323119777
"Dondo","May","Testados","LR","FB",1319,5702,4.32297194844579,4.07094969116713,4.5932110070544,"low",-3.32297194844579
"Gondola","Apr","Testados","LR","FB",4035,2942,0.72912019826518,0.695049853330696,0.764792250701874,"low",0.27087980173482
"Gondola","Feb","Testados","LR","FB",2131,924,0.433599249178789,0.400951016278086,0.46862267524955,"low",0.566400750821211
