"Unidade_Sanitaria","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"CS Cheadeia","Apr","Testados","LR","FB",255,258,1.01176470588235,0.847654485534674,1.20770442708314,"high",-0.0117647058823529
"CS Cheadeia","Feb","Testados","LR","FB",124,135,1.08870967741935,0.846809859742923,1.40069434840678,"high",-0.0887096774193548
"CS Cheadeia","Jul","Testados","LR","FB",159,167,1.05031446540881,0.840191735619206,1.31340431344221,"high",-0.050314465408805
"CS Cheadeia","Jun","Testados","LR","FB",168,168,1,0.802628094896048,1.2459070475592,"high",0
"CS Cheadeia","Mar","Testados","LR","FB",197,185,0.939086294416244,0.764165196728197,1.15364968945816,"high",0.0609137055837563
"CS Cheadeia","May","Testados","LR","FB",210,180,0.857142857142857,0.698474465475908,1.05098154902143,"high",0.142857142857143
"CS Dondo","Apr","Testados","LR","FB",2073,3462,1.67004341534009,1.58110957678488,1.76431226734844,"low",-0.670043415340087
"CS Dondo","Feb","Testados","LR","FB",1205,2722,2.25892116182573,2.11001879435961,2.41942899673593,"low",-1.25892116182573
"CS Dondo","Jun","Testados","LR","FB",832,2879,3.46033653846154,3.20228670681513,3.74233193786589,"low",-2.46033653846154
"CS Dondo","Mar","Testados","LR","FB",1077,2493,2.31476323119777,2.15422693610435,2.48855256462486,"low",-1.31476323119777
"CS Dondo","May","Testados","LR","FB",1319,5702,4.32297194844579,4.07094969116713,4.5932110070544,"low",-3.32297194844579
"CS Mafambisse","Jul","Testados","LR","FB",1871,4972,2.6574024585783,2.51930986571572,2.80397440916526,"low",-1.6574024585783
"CS Mafambisse","Jun","Testados","LR","FB",1953,2454,1.25652841781874,1.18353941762442,1.33415489066122,"medium",-0.25652841781874
"CS Messica","Apr","Testados","LR","FB",5379,3463,0.643799962818368,0.616709901178456,0.672013054002735,"low",0.356200037181632
"CS Messica","Feb","Testados","LR","FB",3581,2612,0.729405194079866,0.693266810005985,0.767350085347795,"low",0.270594805920134
"CS Messica","Jul","Testados","LR","FB",626,1543,2.46485623003195,2.2447673735212,2.70907796311808,"low",-1.46485623003195
"CS Messica","Jun","Testados","LR","FB",3677,2846,0.774000543921675,0.736779102775558,0.813039646636169,"medium",0.225999456078325
"CS Messica","Mar","Testados","LR","FB",3350,2696,0.804776119402985,0.764699416268477,0.846893538071214,"medium",0.195223880597015
"CS Messica","May","Testados","LR","FB",1555,3312,2.12990353697749,2.00474797046386,2.26362708837684,"low",-1.12990353697749
"CS Munhava","Apr","Testados","LR","FB",4961,4654,0.938117315057448,0.901142386395729,0.976596809363067,"high",0.0618826849425519
"CS Munhava","Feb","Testados","LR","FB",1360,4508,3.31470588235294,3.11897470050532,3.52448866023249,"low",-2.31470588235294
"CS Munhava","Jul","Testados","LR","FB",2960,3499,1.18209459459459,1.1253063596876,1.24181142117139,"medium",-0.182094594594595
"CS Munhava","Jun","Testados","LR","FB",3268,10,0.00305997552019584,0.00146598609352621,0.00563462900655024,"low",0.996940024479804
"CS Munhava","Mar","Testados","LR","FB",1670,3538,2.1185628742515,1.9982283613111,2.24683737885609,"low",-1.1185628742515
"CS Munhava","May","Testados","LR","FB",3752,4996,1.33155650319829,1.27609688273038,1.3895157089584,"low",-0.331556503198294
"CS Vila Nova","Jul","Testados","LR","FB",1781,99,0.0555867490174059,0.0449344200753827,0.0680801540249122,"low",0.944413250982594
"CS Vila Nova","Jun","Testados","LR","FB",2919,186,0.0637204522096608,0.0546445146880294,0.0739228352694033,"low",0.936279547790339
"CS Vila Nova","Mar","Testados","LR","FB",3510,604,0.172079772079772,0.157585497329001,0.187652287727378,"low",0.827920227920228
"CS Vila Nova","May","Testados","LR","FB",3104,32,0.0103092783505155,0.00703896186318061,0.0145844786896212,"low",0.989690721649485
"Eduardo Mondlane","Jul","Testados","LR","FB",4399,4606,1.0470561491248,1.0044557244987,1.09147411141629,"high",-0.0470561491248011
"HD Gondola","Apr","Testados","LR","FB",4035,2942,0.72912019826518,0.695049853330696,0.764792250701874,"low",0.27087980173482
"HD Gondola","Feb","Testados","LR","FB",2131,924,0.433599249178789,0.400951016278086,0.46862267524955,"low",0.566400750821211
"HD Gondola","Mar","Testados","LR","FB",2246,2903,1.29252003561888,1.22283126852672,1.36631452940045,"low",-0.292520035618878
"HD Gondola","May","Testados","LR","FB",5517,2229,0.404023926046765,0.384459469528663,0.424473681705648,"low",0.595976073953235
"HD Manica","Apr","Testados","LR","FB",5625,452,0.0803555555555556,0.07285207285986,0.0884526118126328,"low",0.919644444444444
"HD Manica","Feb","Testados","LR","FB",525,420,0.8,0.701981175951145,0.911266400559399,"high",0.2
"HD Manica","Jul","Testados","LR","FB",2726,320,0.117388114453412,0.10422291481983,0.131850307352847,"low",0.882611885546588
"HD Manica","Jun","Testados","LR","FB",4967,181,0.0364405073485001,0.0312425127143929,0.0422728727265265,"low",0.9635594926515
"HD Manica","Mar","Testados","LR","FB",3462,395,0.114095898324668,0.102556668209408,0.126649338516814,"low",0.885904101675332
