"province","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"Manica","Apr","Testados","LR","FB",15039,6857,0.45594786887426,0.443046336305107,0.469189302404306,"low",0.54405213112574
"Manica","Feb","Testados","LR","FB",6237,3956,0.634279300945968,0.609355090503512,0.660163953199931,"low",0.365720699054032
"Manica","Jul","Testados","LR","FB",9532,6568,0.689047419219471,0.667625902481754,0.71112385126032,"low",0.310952580780529
"Manica","Jun","Testados","LR","FB",11563,3213,0.277869065121508,0.267135230467701,0.288971407977361,"low",0.722130934878492
"Manica","Mar","Testados","LR","FB",12568,6598,0.524984086569064,0.509495235884195,0.540906338755993,"low",0.475015913430936
"Manica","May","Testados","LR","FB",14598,5683,0.389299904096452,0.377485108234528,0.401442965019196,"low",0.610700095903548
"Sofala","Apr","Testados","LR","FB",10787,12120,1.12357467321776,1.09470931491655,1.15321244412099,"high",-0.123574673217762
"Sofala","Feb","Testados","LR","FB",4441,9088,2.04638594911056,1.97403286170399,2.12162669553928,"low",-1.04638594911056
"Sofala","Jul","Testados","LR","FB",7553,10813,1.43161657619489,1.39002170931817,1.47451273439175,"low",-0.431616576194889
"Sofala","Jun","Testados","LR","FB",8763,6719,0.76674654798585,0.742650717446492,0.791597719272768,"low",0.23325345201415
"Sofala","Mar","Testados","LR","FB",4942,8426,1.70497774180494,1.64594478992411,1.76627050945338,"low",-0.704977741804937
"Sofala","May","Testados","LR","FB",8313,12314,1.48129435823409,1.44053165158884,1.52326774464722,"low",-0.481294358234091
"Manica","Apr","Positivos","LR","FB",6559,2492,0.379935965848453,0.362666347372761,0.397931860702937,"low",0.620064034151548
"Manica","Feb","Positivos","LR","FB",2023,239,0.118141374196738,0.102884353525915,0.135154206712383,"low",0.881858625803262
"Manica","Jul","Positivos","LR","FB",3059,2581,0.843739784243217,0.800368423194529,0.889408993142302,"medium",0.156260215756783
"Manica","Jun","Positivos","LR","FB",5912,2555,0.432171853856563,0.412415514291382,0.452776946920601,"low",0.567828146143437
"Manica","Mar","Positivos","LR","FB",5234,1483,0.283339701948796,0.267286435340357,0.300215502451455,"low",0.716660298051204
"Manica","May","Positivos","LR","FB",9032,1954,0.216341895482728,0.205912859879577,0.227210585883142,"low",0.783658104517272
"Sofala","Apr","Positivos","LR","FB",2527,2533,1.00237435694499,0.948256129030213,1.05958215160283,"high",-0.00237435694499406
"Sofala","Feb","Positivos","LR","FB",1372,1715,1.25,1.16365478416803,1.34294453665662,"medium",-0.25
"Sofala","Jul","Positivos","LR","FB",1910,1881,0.984816753926702,0.92357850158179,1.05010713545993,"high",0.0151832460732984
"Sofala","Jun","Positivos","LR","FB",3157,3613,1.14444092492873,1.09077515338707,1.20079364828499,"high",-0.14444092492873
"Sofala","Mar","Positivos","LR","FB",1070,908,0.848598130841121,0.7759173769557,0.927933540018394,"high",0.151401869158879
"Sofala","May","Positivos","LR","FB",2675,3226,1.20598130841121,1.145371886897,1.26987685969488,"medium",-0.205981308411215
"Manica","Apr","Tratados_ACTs","LR","FB",12238,2271,0.185569537506128,0.177365510457369,0.19408554606108,"low",0.814430462493872
"Manica","Feb","Tratados_ACTs","LR","FB",5703,2099,0.368051902507452,0.349923318497208,0.387006389017931,"low",0.631948097492548
"Manica","Jul","Tratados_ACTs","LR","FB",1806,3516,1.9468438538206,1.83892160030996,2.06164135879986,"low",-0.946843853820598
"Manica","Jun","Tratados_ACTs","LR","FB",3954,849,0.214719271623672,0.199142997637491,0.231303205020815,"low",0.785280728376328
