"district","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"Beira","Testados","RMUS","NEP_FISICO",20597,20597,1,0.980824151212291,1.01955075103321,"high",0
"Chimoio","Testados","RMUS","NEP_FISICO",43536,43236,0.993109151047409,0.979958392152725,1.0064362363385,"high",0.00689084895259096
"Dondo","Testados","RMUS","NEP_FISICO",37556,37556,1,0.985772660661567,1.01443267794512,"high",0
"Gondola","Testados","RMUS","NEP_FISICO",7927,7969,1.00529834742021,0.974401002413641,1.0371760822219,"high",-0.00529834742020941
"Manica","Testados","RMUS","NEP_FISICO",25089,27528,1.09721391845032,1.07856387543476,1.1161902168257,"high",-0.0972139184503169
"Muanza","Testados","RMUS","NEP_FISICO",3223,3223,1,0.952052784701006,1.05036192957941,"high",0
"Nhamatanda","Testados","RMUS","NEP_FISICO",17871,17661,0.988249118683901,0.967855064996318,1.00907226058135,"high",0.0117508813160987
"Beira","Positivos","RMUS","NEP_FISICO",2925,3318,1.13435897435897,1.07902209751604,1.19258070310061,"high",-0.134358974358974
"Chimoio","Positivos","RMUS","NEP_FISICO",35902,36278,1.01047295415297,0.995809033116542,1.02535309327001,"high",-0.010472954152972
"Dondo","Positivos","RMUS","NEP_FISICO",15484,15484,1,0.977907856296524,1.02259123245736,"high",0
"Gondola","Positivos","RMUS","NEP_FISICO",3739,4268,1.14148167959347,1.09219455319629,1.19303129681183,"high",-0.141481679593474
"Manica","Positivos","RMUS","NEP_FISICO",16333,18655,1.14216616665646,1.11836746697543,1.16647981232054,"medium",-0.142166166656462
"Muanza","Positivos","RMUS","NEP_FISICO",1705,1810,1.06158357771261,0.99308459336625,1.13484519485264,"high",-0.06158357771261
"Nhamatanda","Positivos","RMUS","NEP_FISICO",5310,5310,1,0.962494978203209,1.03896645971785,"high",0
"Beira","Tratados_ACTs","RMUS","NEP_FISICO",3458,3463,1.00144592249855,0.955077143057226,1.05006632130134,"high",-0.00144592249855408
"Chimoio","Tratados_ACTs","RMUS","NEP_FISICO",33155,32990,0.995023375056553,0.979942886712415,1.01033579378328,"high",0.00497662494344744
"Dondo","Tratados_ACTs","RMUS","NEP_FISICO",16107,13405,0.832246849196002,0.813332812929009,0.851590514982446,"medium",0.167753150803998
"Gondola","Tratados_ACTs","RMUS","NEP_FISICO",4283,4268,0.996497781928555,0.954914281911933,1.03989128568867,"high",0.00350221807144525
"Manica","Tratados_ACTs","RMUS","NEP_FISICO",13881,18547,1.33614292918378,1.3070018278317,1.36595748492163,"low",-0.336142929183776
"Muanza","Tratados_ACTs","RMUS","NEP_FISICO",1460,1811,1.24041095890411,1.15713906072847,1.32984868616276,"medium",-0.24041095890411
"Nhamatanda","Tratados_ACTs","RMUS","NEP_FISICO",6332,6309,0.996367656348705,0.962075327224133,1.03188173233615,"high",0.00363234365129501
"Gondola","Obitos","RMUS","NEP_FISICO",8,8,1,0.327157822884961,3.05662872793854,"high",0
"Manica","Obitos","RMUS","NEP_FISICO",3,3,1,0.13393758817773,7.46616400672407,"high",0
"Muanza","Obitos","RMUS","NEP_FISICO",4,4,1,0.186257590850785,5.36890870021573,"high",0
"Nhamatanda","Obitos","RMUS","NEP_FISICO",7,7,1,0.299309681810599,3.34102122574435,"high",0
"Beira","Testados","RMUS","SIS_MA",20597,20597,1,0.980824151212291,1.01955075103321,"high",0
"Chimoio","Testados","RMUS","SIS_MA",43536,43246,0.993338846012495,0.980185807285243,1.00666823647123,"high",0.00666115398750459
"Dondo","Testados","RMUS","SIS_MA",37556,37453,0.997257428906167,0.98305937491391,1.01166047075965,"high",0.00274257109383321
"Gondola","Testados","RMUS","SIS_MA",7927,7986,1.0074429166141,0.976496034187546,1.03937149290161,"high",-0.0074429166141037
"Manica","Testados","RMUS","SIS_MA",31756,30866,0.971973800226729,0.956834500537046,0.987351781940375,"high",0.0280261997732712
"Muanza","Testados","RMUS","SIS_MA",3345,3353,1.00239162929746,0.955226545379736,1.05188625602218,"high",-0.00239162929745889
"Nhamatanda","Testados","RMUS","SIS_MA",7597,7597,1,0.968571592984984,1.03244820232458,"high",0
"Beira","Positivos","RMUS","SIS_MA",2925,3318,1.13435897435897,1.07902209751604,1.19258070310061,"high",-0.134358974358974
"Chimoio","Positivos","RMUS","SIS_MA",35902,36056,1.00428945462648,0.989693008838509,1.01910129119993,"high",-0.0042894546264832
"Dondo","Positivos","RMUS","SIS_MA",15484,14830,0.957762851976234,0.936372472583188,0.979639196535035,"high",0.0422371480237665
"Gondola","Positivos","RMUS","SIS_MA",3739,4274,1.14308638673442,1.0937460681745,1.1946912714594,"high",-0.143086386734421
"Manica","Positivos","RMUS","SIS_MA",21301,18976,0.890850194826534,0.873544368051499,0.908493867489676,"high",0.109149805173466
"Muanza","Positivos","RMUS","SIS_MA",1449,1554,1.07246376811594,0.997739590747862,1.15283713763164,"high",-0.072463768115942
"Nhamatanda","Positivos","RMUS","SIS_MA",3099,3099,1,0.951120549069887,1.05139143610966,"high",0
"Beira","Tratados_ACTs","RMUS","SIS_MA",3458,3458,1,0.953681547428825,1.04856804946688,"high",0
"Chimoio","Tratados_ACTs","RMUS","SIS_MA",33155,32860,0.991102397828382,0.976066477668689,1.00636968024797,"high",0.00889760217161816
"Dondo","Tratados_ACTs","RMUS","SIS_MA",16107,15457,0.959644874899112,0.938638135712397,0.981119290898783,"high",0.0403551251008878
"Gondola","Tratados_ACTs","RMUS","SIS_MA",3714,3635,0.978729133010232,0.93472345800007,1.02480072612001,"high",0.0212708669897684
"Manica","Tratados_ACTs","RMUS","SIS_MA",16384,16984,1.03662109375,1.01454969167214,1.05917484404846,"high",-0.03662109375
"Muanza","Tratados_ACTs","RMUS","SIS_MA",1204,1555,1.29152823920266,1.19714563553151,1.39360920961136,"medium",-0.291528239202658
"Nhamatanda","Tratados_ACTs","RMUS","SIS_MA",4316,4571,1.05908248378128,1.01570703980016,1.10432407865284,"high",-0.059082483781279
"Gondola","Obitos","RMUS","SIS_MA",8,8,1,0.327157822884961,3.05662872793854,"high",0
"Muanza","Obitos","RMUS","SIS_MA",4,4,1,0.186257590850785,5.36890870021573,"high",0
"Nhamatanda","Obitos","RMUS","SIS_MA",8,8,1,0.327157822884961,3.05662872793854,"high",0
