"Unidade_Sanitaria","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"CS Cheadeia","Testados","RMUS","NEP_FISICO",1093,1093,1,0.918734280209443,1.08845399757156,"high",0
"CS Dondo","Testados","RMUS","NEP_FISICO",20892,20892,1,0.980959049983317,1.01941054523836,"high",0
"CS Inchope","Testados","RMUS","NEP_FISICO",7927,7969,1.00529834742021,0.974401002413641,1.0371760822219,"high",-0.00529834742020941
"CS Mafambisse","Testados","RMUS","NEP_FISICO",16664,16664,1,0.978698056797778,1.02176559261998,"high",0
"CS Mascarenhas","Testados","RMUS","NEP_FISICO",3747,3747,1,0.95547289466741,1.04660216483492,"high",0
"CS Messica","Testados","RMUS","NEP_FISICO",12265,12263,0.999836934366082,0.97504280887004,1.02526153054159,"high",0.000163065633917652
"CS Muanza Baixo","Testados","RMUS","NEP_FISICO",811,811,1,0.906132883703124,1.10359089487324,"high",0
"CS Muanza Sede","Testados","RMUS","NEP_FISICO",2412,2412,1,0.944732119805062,1.05850111268191,"high",0
"CS Munhava","Testados","RMUS","NEP_FISICO",16850,16850,1,0.97881502063041,1.02164349639419,"high",0
"CS Vila Nova","Testados","RMUS","NEP_FISICO",23779,23479,0.987383826065015,0.969697356756906,1.00539236523341,"high",0.0126161739349847
"Eduardo Mondlane","Testados","RMUS","NEP_FISICO",19757,19757,1,0.980423698886364,1.01996718473439,"high",0
"HD Manica","Testados","RMUS","NEP_FISICO",12824,15265,1.19034622582658,1.16264857417868,1.2187182876072,"medium",-0.190346225826575
"HR Nhamatanda","Testados","RMUS","NEP_FISICO",16778,16568,0.987483609488616,0.966453159262945,1.00897096152379,"high",0.012516390511384
"CS Cheadeia","Positivos","RMUS","NEP_FISICO",338,338,1,0.857490738820493,1.16619335314983,"high",0
"CS Dondo","Positivos","RMUS","NEP_FISICO",8969,8969,1,0.971047898621021,1.02981531747311,"high",0
"CS Inchope","Positivos","RMUS","NEP_FISICO",3739,4268,1.14148167959347,1.09219455319629,1.19303129681183,"high",-0.141481679593474
"CS Mafambisse","Positivos","RMUS","NEP_FISICO",6515,6515,1,0.966094010832354,1.03509595214076,"high",0
"CS Mascarenhas","Positivos","RMUS","NEP_FISICO",592,975,1.64695945945946,1.48553822078986,1.82713085456411,"low",-0.646959459459459
"CS Messica","Positivos","RMUS","NEP_FISICO",8524,8445,0.990732050680432,0.961248865929649,1.02111845803282,"high",0.00926794931956828
"CS Muanza Baixo","Positivos","RMUS","NEP_FISICO",559,559,1,0.887778706585499,1.12640683154715,"high",0
"CS Muanza Sede","Positivos","RMUS","NEP_FISICO",1146,1251,1.09162303664921,1.00674356436125,1.1837443622046,"high",-0.0916230366492147
"CS Munhava","Positivos","RMUS","NEP_FISICO",2333,2343,1.00428632661809,0.947929344340472,1.06399578446767,"high",-0.0042863266180883
"CS Vila Nova","Positivos","RMUS","NEP_FISICO",12895,13671,1.06017836370686,1.03489874974881,1.08608007193876,"high",-0.0601783637068631
"Eduardo Mondlane","Positivos","RMUS","NEP_FISICO",23007,22607,0.98261398704742,0.964700292016397,1.00085958863405,"high",0.0173860129525796
"HD Manica","Positivos","RMUS","NEP_FISICO",7809,10210,1.3074657446536,1.26937838999706,1.34673490958003,"low",-0.307465744653605
"HR Nhamatanda","Positivos","RMUS","NEP_FISICO",4972,4972,1,0.961259453543344,1.04030186263849,"high",0
"CS Cheadeia","Tratados_ACTs","RMUS","NEP_FISICO",318,342,1.07547169811321,0.920473874922914,1.25685332781602,"high",-0.0754716981132075
"CS Dondo","Tratados_ACTs","RMUS","NEP_FISICO",9434,7822,0.829128683485266,0.804544368738194,0.854446257767165,"medium",0.170871316514734
"CS Inchope","Tratados_ACTs","RMUS","NEP_FISICO",4283,4268,0.996497781928555,0.954914281911933,1.03989128568867,"high",0.00350221807144525
"CS Mafambisse","Tratados_ACTs","RMUS","NEP_FISICO",6673,5583,0.836655177581298,0.807290949747061,0.867063014756207,"medium",0.163344822418702
"CS Mascarenhas","Tratados_ACTs","RMUS","NEP_FISICO",1174,1174,1,0.921501455057402,1.08518548127274,"high",0
"CS Messica","Tratados_ACTs","RMUS","NEP_FISICO",8377,8400,1.00274561298794,0.972737527672215,1.03367974610151,"high",-0.00274561298794318
"CS Muanza Baixo","Tratados_ACTs","RMUS","NEP_FISICO",560,560,1,0.887874539056681,1.12628525316476,"high",0
