"province","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"Manica","Testados","RMUS","NEP_FISICO",76552,78733,1.0284904378723,1.01829631488273,1.03878697171416,"high",-0.028490437872296
"Sofala","Testados","RMUS","NEP_FISICO",79247,79037,0.997350057415423,0.987559113238967,1.00723803966721,"high",0.00264994258457733
"Manica","Positivos","RMUS","NEP_FISICO",55974,59201,1.05765176689177,1.04548325811182,1.06996289936642,"high",-0.0576517668917712
"Sofala","Positivos","RMUS","NEP_FISICO",25424,25922,1.01958779106356,1.00206195954271,1.03742089459081,"high",-0.019587791063562
"Manica","Tratados_ACTs","RMUS","NEP_FISICO",51319,55805,1.08741401819989,1.07443753978054,1.10054886269067,"high",-0.087414018199887
"Sofala","Tratados_ACTs","RMUS","NEP_FISICO",27357,24988,0.913404247541763,0.897836277324231,0.929239079793883,"high",0.0865957524582374
"Manica","Obitos","RMUS","NEP_FISICO",11,11,1,0.393166142957291,2.54345400262156,"high",0
"Sofala","Obitos","RMUS","NEP_FISICO",11,11,1,0.393166142957291,2.54345400262156,"high",0
"Manica","Testados","RMUS","SIS_MA",83219,82098,0.986529518499381,0.97705203066089,0.996098783187735,"high",0.0134704815006188
"Sofala","Testados","RMUS","SIS_MA",69095,69000,0.998625081409653,0.988132158927757,1.00922940851993,"high",0.00137491859034662
"Manica","Positivos","RMUS","SIS_MA",60942,59306,0.973154802927374,0.96219879953435,0.984235131525399,"high",0.0268451970726264
"Sofala","Positivos","RMUS","SIS_MA",22957,22801,0.993204687023566,0.975127041313524,1.01161718154097,"high",0.0067953129764342
"Manica","Tratados_ACTs","RMUS","SIS_MA",53253,53479,1.00424389236287,0.992247776223571,1.0163851164962,"high",-0.00424389236287158
"Sofala","Tratados_ACTs","RMUS","SIS_MA",25085,25041,0.998245963723341,0.980881182548537,1.0159180898725,"high",0.00175403627665936
"Manica","Obitos","RMUS","SIS_MA",8,8,1,0.327157822884961,3.05662872793854,"high",0
"Sofala","Obitos","RMUS","SIS_MA",12,12,1,0.410918380274882,2.43357330312422,"high",0
