"district","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"Beira","Apr","Testados","RMUS","NEP_FISICO",983,983,1,0.914454216095168,1.09354846027188,"high",0
"Beira","Feb","Testados","RMUS","NEP_FISICO",4903,4903,1,0.960991806841138,1.04059159805648,"high",0
"Beira","Jul","Testados","RMUS","NEP_FISICO",3904,3904,1,0.956362477168059,1.04562864381836,"high",0
"Beira","Jun","Testados","RMUS","NEP_FISICO",1199,1199,1,0.922299512852129,1.08424647965777,"high",0
"Beira","Mar","Testados","RMUS","NEP_FISICO",4358,4358,1,0.958661466095703,1.04312109682749,"high",0
"Beira","May","Testados","RMUS","NEP_FISICO",5250,5250,1,0.962284312502876,1.03919391286659,"high",0
"Chimoio","Apr","Testados","RMUS","NEP_FISICO",3446,3446,1,0.953602386674066,1.04865509354245,"high",0
"Chimoio","Feb","Testados","RMUS","NEP_FISICO",3805,3805,1,0.955807865375068,1.04623537452016,"high",0
"Chimoio","Jul","Testados","RMUS","NEP_FISICO",8560,8560,1,0.97037190349713,1.03053272296538,"high",0
"Chimoio","Jun","Testados","RMUS","NEP_FISICO",9958,9958,1,0.972507984920537,1.02826919213595,"high",0
"Chimoio","Mar","Testados","RMUS","NEP_FISICO",6256,5956,0.952046035805627,0.918702905398479,0.9865916472886,"high",0.0479539641943734
"Chimoio","May","Testados","RMUS","NEP_FISICO",11511,11511,1,0.974411244240385,1.02626073530131,"high",0
"Dondo","Apr","Testados","RMUS","NEP_FISICO",9757,9757,1,0.972229188020634,1.02856405909383,"high",0
"Dondo","Feb","Testados","RMUS","NEP_FISICO",5070,5070,1,0.961630248715967,1.03990073246476,"high",0
"Dondo","Jul","Testados","RMUS","NEP_FISICO",2419,2419,1,0.94481046251607,1.05841334285922,"high",0
"Dondo","Jun","Testados","RMUS","NEP_FISICO",5536,5536,1,0.963257785583999,1.03814369835975,"high",0
"Dondo","Mar","Testados","RMUS","NEP_FISICO",6024,6024,1,0.964757260588343,1.036530162406,"high",0
"Dondo","May","Testados","RMUS","NEP_FISICO",8750,8750,1,0.970691785414512,1.03019312105642,"high",0
"Gondola","Apr","Testados","RMUS","NEP_FISICO",1227,1273,1.03748981255094,0.958490208075214,1.123033255702,"high",-0.0374898125509372
"Gondola","Feb","Testados","RMUS","NEP_FISICO",1611,1611,1,0.932691646374321,1.07216570866409,"high",0
"Gondola","Jul","Testados","RMUS","NEP_FISICO",995,995,1,0.914954616034617,1.09295038516114,"high",0
"Gondola","Jun","Testados","RMUS","NEP_FISICO",1182,1182,1,0.921759530046901,1.08488165015133,"high",0
"Gondola","Mar","Testados","RMUS","NEP_FISICO",1056,1056,1,0.917367874990208,1.09007523291643,"high",0
"Gondola","May","Testados","RMUS","NEP_FISICO",1856,1852,0.997844827586207,0.935127402238207,1.06476739191,"high",0.0021551724137931
"Manica","Apr","Testados","RMUS","NEP_FISICO",12902,12318,0.95473569989149,0.93137623643017,0.978677581781026,"high",0.0452643001085103
"Manica","Jul","Testados","RMUS","NEP_FISICO",2068,2068,1,0.940412486584982,1.0633631669773,"high",0
"Manica","Mar","Testados","RMUS","NEP_FISICO",3251,3251,1,0.952255963450591,1.05013781838278,"high",0
"Manica","May","Testados","RMUS","NEP_FISICO",6868,9891,1.44015725101922,1.39635518068573,1.48539696659623,"low",-0.44015725101922
"Muanza","Apr","Testados","RMUS","NEP_FISICO",266,266,1,0.840516193214837,1.18974507341157,"high",0
"Muanza","Jul","Testados","RMUS","NEP_FISICO",689,689,1,0.898476053926312,1.11299571717024,"high",0
"Muanza","Jun","Testados","RMUS","NEP_FISICO",1055,1055,1,0.917329972202007,1.09012027329658,"high",0
"Muanza","Mar","Testados","RMUS","NEP_FISICO",120,120,1,0.769917908417768,1.29883977118426,"high",0
"Muanza","May","Testados","RMUS","NEP_FISICO",1093,1093,1,0.918734280209443,1.08845399757156,"high",0
"Nhamatanda","Apr","Testados","RMUS","NEP_FISICO",3984,3774,0.947289156626506,0.90579993173128,0.990665338995264,"high",0.052710843373494
