"Unidade_Sanitaria","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"CS Cheadeia","Apr","Testados","RMUS","NEP_FISICO",258,258,1,0.838222342627983,1.19300088907773,"high",0
"CS Cheadeia","Feb","Testados","RMUS","NEP_FISICO",135,135,1,0.781878990087139,1.27897029166694,"high",0
"CS Cheadeia","Jul","Testados","RMUS","NEP_FISICO",167,167,1,0.802086050607492,1.24674902305384,"high",0
"CS Cheadeia","Jun","Testados","RMUS","NEP_FISICO",168,168,1,0.802628094896048,1.2459070475592,"high",0
"CS Cheadeia","Mar","Testados","RMUS","NEP_FISICO",185,185,1,0.811196021982804,1.23274766258802,"high",0
"CS Cheadeia","May","Testados","RMUS","NEP_FISICO",180,180,1,0.808795547702997,1.2364064105447,"high",0
"CS Dondo","Apr","Testados","RMUS","NEP_FISICO",6195,6195,1,0.965240652904413,1.03601106831856,"high",0
"CS Dondo","Feb","Testados","RMUS","NEP_FISICO",2437,2437,1,0.945010384902559,1.05818942942422,"high",0
"CS Dondo","Jun","Testados","RMUS","NEP_FISICO",3065,3065,1,0.950855228466437,1.05168480969792,"high",0
"CS Dondo","Mar","Testados","RMUS","NEP_FISICO",3812,3812,1,0.955847780871362,1.04619168450482,"high",0
"CS Dondo","May","Testados","RMUS","NEP_FISICO",5383,5383,1,0.962746568220812,1.03869495151568,"high",0
"CS Inchope","Apr","Testados","RMUS","NEP_FISICO",1227,1273,1.03748981255094,0.958490208075214,1.123033255702,"high",-0.0374898125509372
"CS Inchope","Feb","Testados","RMUS","NEP_FISICO",1611,1611,1,0.932691646374321,1.07216570866409,"high",0
"CS Inchope","Jul","Testados","RMUS","NEP_FISICO",995,995,1,0.914954616034617,1.09295038516114,"high",0
"CS Inchope","Jun","Testados","RMUS","NEP_FISICO",1182,1182,1,0.921759530046901,1.08488165015133,"high",0
"CS Inchope","Mar","Testados","RMUS","NEP_FISICO",1056,1056,1,0.917367874990208,1.09007523291643,"high",0
"CS Inchope","May","Testados","RMUS","NEP_FISICO",1856,1852,0.997844827586207,0.935127402238207,1.06476739191,"high",0.0021551724137931
"CS Mafambisse","Apr","Testados","RMUS","NEP_FISICO",3562,3562,1,0.954350958896455,1.04783255119933,"high",0
"CS Mafambisse","Feb","Testados","RMUS","NEP_FISICO",2633,2633,1,0.947054650530041,1.05590527372452,"high",0
"CS Mafambisse","Jul","Testados","RMUS","NEP_FISICO",2419,2419,1,0.94481046251607,1.05841334285922,"high",0
"CS Mafambisse","Jun","Testados","RMUS","NEP_FISICO",2471,2471,1,0.945382122273609,1.05777333465439,"high",0
"CS Mafambisse","Mar","Testados","RMUS","NEP_FISICO",2212,2212,1,0.942341318081608,1.06118662188746,"high",0
"CS Mafambisse","May","Testados","RMUS","NEP_FISICO",3367,3367,1,0.953070852141357,1.04923993610045,"high",0
"CS Mascarenhas","Apr","Testados","RMUS","NEP_FISICO",983,983,1,0.914454216095168,1.09354846027188,"high",0
"CS Mascarenhas","Feb","Testados","RMUS","NEP_FISICO",751,751,1,0.90259455185843,1.10791716828006,"high",0
"CS Mascarenhas","Jun","Testados","RMUS","NEP_FISICO",1199,1199,1,0.922299512852129,1.08424647965777,"high",0
"CS Mascarenhas","May","Testados","RMUS","NEP_FISICO",814,814,1,0.906299714553813,1.1033877468364,"high",0
"CS Messica","Apr","Testados","RMUS","NEP_FISICO",3561,3561,1,0.954344660589231,1.04783946649063,"high",0
"CS Messica","Jul","Testados","RMUS","NEP_FISICO",2068,2068,1,0.940412486584982,1.0633631669773,"high",0
"CS Messica","Mar","Testados","RMUS","NEP_FISICO",3251,3251,1,0.952255963450591,1.05013781838278,"high",0
"CS Messica","May","Testados","RMUS","NEP_FISICO",3385,3383,0.999409158050222,0.952623518662804,1.04849237526188,"high",0.000590841949778434
"CS Muanza Baixo","Apr","Testados","RMUS","NEP_FISICO",266,266,1,0.840516193214837,1.18974507341157,"high",0
"CS Muanza Baixo","Jul","Testados","RMUS","NEP_FISICO",173,173,1,0.805271406921946,1.2418173443192,"high",0
"CS Muanza Baixo","Jun","Testados","RMUS","NEP_FISICO",252,252,1,0.836434026344764,1.19555155398212,"high",0
"CS Muanza Baixo","Mar","Testados","RMUS","NEP_FISICO",120,120,1,0.769917908417768,1.29883977118426,"high",0
"CS Muanza Sede","Jul","Testados","RMUS","NEP_FISICO",516,516,1,0.883406246760894,1.13198203393581,"high",0
"CS Muanza Sede","Jun","Testados","RMUS","NEP_FISICO",803,803,1,0.905683554159059,1.1041384106047,"high",0
"CS Muanza Sede","May","Testados","RMUS","NEP_FISICO",1093,1093,1,0.918734280209443,1.08845399757156,"high",0
"CS Munhava","Feb","Testados","RMUS","NEP_FISICO",4152,4152,1,0.957664593231015,1.04420692491737,"high",0
"CS Munhava","Jul","Testados","RMUS","NEP_FISICO",3904,3904,1,0.956362477168059,1.04562864381836,"high",0
"CS Munhava","Mar","Testados","RMUS","NEP_FISICO",4358,4358,1,0.958661466095703,1.04312109682749,"high",0
"CS Munhava","May","Testados","RMUS","NEP_FISICO",4436,4436,1,0.959020861644994,1.04273018449746,"high",0
"CS Vila Nova","Apr","Testados","RMUS","NEP_FISICO",3446,3446,1,0.953602386674066,1.04865509354245,"high",0
"CS Vila Nova","Feb","Testados","RMUS","NEP_FISICO",3805,3805,1,0.955807865375068,1.04623537452016,"high",0
"CS Vila Nova","Jul","Testados","RMUS","NEP_FISICO",2940,2940,1,0.949841041144603,1.05280774011929,"high",0
"CS Vila Nova","Jun","Testados","RMUS","NEP_FISICO",3450,3450,1,0.953628818934147,1.0486260273863,"high",0
"CS Vila Nova","Mar","Testados","RMUS","NEP_FISICO",6256,5956,0.952046035805627,0.918702905398479,0.9865916472886,"high",0.0479539641943734
"CS Vila Nova","May","Testados","RMUS","NEP_FISICO",3882,3882,1,0.956241045299859,1.04576142690719,"high",0
"Eduardo Mondlane","Jul","Testados","RMUS","NEP_FISICO",5620,5620,1,0.963529616186037,1.03785081766176,"high",0
"Eduardo Mondlane","Jun","Testados","RMUS","NEP_FISICO",6508,6508,1,0.966076013893837,1.03511523484516,"high",0
"Eduardo Mondlane","May","Testados","RMUS","NEP_FISICO",7629,7629,1,0.968636797847517,1.03237870192644,"high",0
"HD Manica","Apr","Testados","RMUS","NEP_FISICO",9341,8757,0.937479927202655,0.910439803078172,0.965316516758355,"high",0.062520072797345
"HD Manica","May","Testados","RMUS","NEP_FISICO",3483,6508,1.86850416307781,1.79289882516507,1.94754922738663,"low",-0.868504163077807
"HR Nhamatanda","Apr","Testados","RMUS","NEP_FISICO",3726,3516,0.943639291465378,0.900884727025004,0.988407548051146,"high",0.0563607085346216
"HR Nhamatanda","Feb","Testados","RMUS","NEP_FISICO",2189,2189,1,0.94204587137214,1.06151943380787,"high",0
"HR Nhamatanda","Jul","Testados","RMUS","NEP_FISICO",2175,2175,1,0.941863778643761,1.06172465984407,"high",0
"HR Nhamatanda","Jun","Testados","RMUS","NEP_FISICO",3275,3275,1,0.95242806399763,1.04994806201184,"high",0
