"","Proveniencia","appropriate_management","started_tarv","median_age_days","first_test_positive","first_test_negative","had_second_test","second_test_positive","second_test_negative","had_third_test","third_test_positive","third_test_negative","facility_receive_1","facility_receive_2","facility_receive_3","mother_receive_1","mother_receive_2","mother_receive_3","total","pct_appropriate_management","pct_started_tarv","pct_median_age_days","pct_first_test_positive","pct_first_test_negative","pct_had_second_test","pct_second_test_positive","pct_second_test_negative","pct_had_third_test","pct_third_test_positive","pct_third_test_negative","pct_facility_receive_1","pct_facility_receive_2","pct_facility_receive_3","pct_mother_receive_1","pct_mother_receive_2","pct_mother_receive_3"
"1","CS 1  DE MAIO",3,7,33.5,21,2,7,7,0,0,0,0,16,4,0,5,0,0,24,0.125,0.291666666666667,1.39583333333333,0.875,0.0833333333333333,0.291666666666667,0.291666666666667,0,0,0,0,0.666666666666667,0.166666666666667,0,0.208333333333333,0,0
"2","CS 1 DE JUNHO",8,13,62,41,3,29,27,2,1,1,0,39,13,0,25,3,0,46,0.173913043478261,0.282608695652174,1.34782608695652,0.891304347826087,0.0652173913043478,0.630434782608696,0.58695652173913,0.0434782608695652,0.0217391304347826,0.0217391304347826,0,0.847826086956522,0.282608695652174,0,0.543478260869565,0.0652173913043478,0
"3","CS ALBASINE",3,9,39,26,1,18,18,0,0,0,0,26,12,0,15,1,0,29,0.103448275862069,0.310344827586207,1.3448275862069,0.896551724137931,0.0344827586206897,0.620689655172414,0.620689655172414,0,0,0,0,0.896551724137931,0.413793103448276,0,0.517241379310345,0.0344827586206897,0
"4","CS ALTO MAE",2,10,51,12,0,5,5,0,0,0,0,11,4,0,7,1,0,13,0.153846153846154,0.769230769230769,3.92307692307692,0.923076923076923,0,0.384615384615385,0.384615384615385,0,0,0,0,0.846153846153846,0.307692307692308,0,0.538461538461538,0.0769230769230769,0
"5","CS BAGAMOYO",3,12,60,22,0,8,8,0,0,0,0,20,6,0,16,1,0,24,0.125,0.5,2.5,0.916666666666667,0,0.333333333333333,0.333333333333333,0,0,0,0,0.833333333333333,0.25,0,0.666666666666667,0.0416666666666667,0
"6","CS CATEMBE",0,1,86.5,4,0,0,0,0,0,0,0,3,0,0,2,0,0,4,0,0.25,21.625,1,0,0,0,0,0,0,0,0.75,0,0,0.5,0,0
"7","CS CHAMANCULO",4,11,46,25,0,6,5,1,0,0,0,19,1,0,19,0,0,25,0.16,0.44,1.84,1,0,0.24,0.2,0.04,0,0,0,0.76,0.04,0,0.76,0,0
"8","CS HULENE",1,3,111,5,1,2,1,1,0,0,0,5,1,0,3,0,0,6,0.166666666666667,0.5,18.5,0.833333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0,0,0,0.833333333333333,0.166666666666667,0,0.5,0,0
"9","CS INCASSANE",0,0,92,3,0,2,2,0,0,0,0,3,0,0,2,0,0,4,0,0,23,0.75,0,0.5,0.5,0,0,0,0,0.75,0,0,0.5,0,0
"10","CS INHAGOIA",2,5,53.5,17,0,14,14,0,0,0,0,16,10,0,9,6,0,18,0.111111111111111,0.277777777777778,2.97222222222222,0.944444444444444,0,0.777777777777778,0.777777777777778,0,0,0,0,0.888888888888889,0.555555555555556,0,0.5,0.333333333333333,0
"11","CS JOSE MACAMO",7,9,46,22,4,20,18,2,0,0,0,24,15,0,18,9,0,31,0.225806451612903,0.290322580645161,1.48387096774194,0.709677419354839,0.129032258064516,0.645161290322581,0.580645161290323,0.0645161290322581,0,0,0,0.774193548387097,0.483870967741935,0,0.580645161290323,0.290322580645161,0
"12","CS MAGOANINE",2,3,97,7,0,3,3,0,0,0,0,4,1,0,4,1,0,8,0.25,0.375,12.125,0.875,0,0.375,0.375,0,0,0,0,0.5,0.125,0,0.5,0.125,0
"13","CS MAGOANINE TENDAS",2,6,54,8,1,3,3,0,0,0,0,5,2,0,3,1,0,9,0.222222222222222,0.666666666666667,6,0.888888888888889,0.111111111111111,0.333333333333333,0.333333333333333,0,0,0,0,0.555555555555556,0.222222222222222,0,0.333333333333333,0.111111111111111,0
"14","CS MALHANGALENE",1,6,37,18,0,5,4,0,0,0,0,13,4,0,4,0,0,19,0.0526315789473684,0.315789473684211,1.94736842105263,0.947368421052632,0,0.263157894736842,0.210526315789474,0,0,0,0,0.684210526315789,0.210526315789474,0,0.210526315789474,0,0
"15","CS MAVALANE",1,8,41,18,1,9,9,0,0,0,0,17,3,0,8,1,0,19,0.0526315789473684,0.421052631578947,2.15789473684211,0.947368421052632,0.0526315789473684,0.473684210526316,0.473684210526316,0,0,0,0,0.894736842105263,0.157894736842105,0,0.421052631578947,0.0526315789473684,0
"16","CS MAXAQUENE",1,3,35,4,0,4,4,0,0,0,0,3,3,0,3,1,0,4,0.25,0.75,8.75,1,0,1,1,0,0,0,0,0.75,0.75,0,0.75,0.25,0
