"variable","level","count","n_nonmissing","n_total","pct_among_nonmissing","pct_among_total"
"on_TARV","FALSE",95,185,188,51.35,50.53
"on_TARV","TRUE",90,185,188,48.65,47.87
"Hb_categories","[0,6)",41,187,188,21.93,21.81
"Hb_categories","[6,9)",81,187,188,43.32,43.09
"Hb_categories","[9,11)",44,187,188,23.53,23.4
"Hb_categories","[11,999)",21,187,188,11.23,11.17
"oms_score","2",13,185,188,7.03,6.91
"oms_score","3",172,185,188,92.97,91.49
"EstadoTARV","0",90,185,188,48.65,47.87
"EstadoTARV","1",84,185,188,45.41,44.68
"EstadoTARV","2",11,185,188,5.95,5.85
"AntecedentedeTB","0",83,118,188,70.34,44.15
"AntecedentedeTB","1",35,118,188,29.66,18.62
"LocaldetestedeHIV","HCB",47,174,188,27.01,25
"LocaldetestedeHIV","Outro",127,174,188,72.99,67.55
"LinhadeTARVusada","0",25,26,188,96.15,13.3
"LinhadeTARVusada","1",1,26,188,3.85,0.53
"freq_card_cat","[0,60)",0,101,188,0,0
"freq_card_cat","[60,100)",57,101,188,56.44,30.32
"freq_card_cat","[100,999)",44,101,188,43.56,23.4
"freq_resp_cat","[0,12)",0,106,188,0,0
"freq_resp_cat","[12,20)",30,106,188,28.3,15.96
"freq_resp_cat","[20,999)",76,106,188,71.7,40.43
"tensao_systolic_cat","[0,60)",1,150,188,0.67,0.53
"tensao_systolic_cat","[60,139)",138,150,188,92,73.4
"tensao_systolic_cat","[139,999)",11,150,188,7.33,5.85
"tensao_diastolic_cat","[0,60)",24,150,188,16,12.77
"tensao_diastolic_cat","[60,90)",110,150,188,73.33,58.51
"tensao_diastolic_cat","[90,999)",16,150,188,10.67,8.51
"age_cat","[0,25)",25,186,188,13.44,13.3
"age_cat","[25,35)",58,186,188,31.18,30.85
"age_cat","[35,45)",54,186,188,29.03,28.72
"age_cat","[45,999)",49,186,188,26.34,26.06
"Sexo","0",91,186,188,48.92,48.4
"Sexo","1",95,186,188,51.08,50.53
