"variable","importance"
"y_tb",0.00634840576691604
"y_broncopneumonia",0.00219592681096615
"x_desidratado",0.0020192766864838
"x_paralisia",0.00187782905149453
"y_avc",0.00142269471689746
"x_hepatomegalia",0.00116446229673869
"x_random_neurological_signs",0.00103488723445755
"x_candiase_oral",0.000973980858492687
"x_tosse",0.00096264131273218
"y_encefalopatia_due_to_HIV",0.000946553417427629
"x_esplenomegalia",0.000891879384406979
"y_tumor_and_kaposi",0.000871461491222337
"x_diminuicao_forca",0.000865738468193
"x_palpitacao",0.000854701824927832
"x_disfagia",0.00080964082122441
"y_desidratacao",0.000765468301228514
"x_febre",0.000753212888984405
"x_cefaleia",0.000632331709651671
"y_outras_doencas_abdominais",0.00051733384202453
"y_meningocefalite",0.00050018537019654
"x_ouvido_sinsis_e_sinomas",0.000495263667304004
"y_malaria",0.000469198953507515
"y_insuficiencia_renal",0.000267794823867904
"x_placas_esbranquivadas",0.000245294050976583
"y_desnutricao",0.000229365106181889
"x_massa_abdominal",0.000210206913320271
"x_vertige",0.000195856077379166
"x_edema",0.000160308275035633
"x_perda_de_peso",0.000138303235557208
"x_dor_lombar",0.000131046030780546
"y_trombocitopenia",0.000121575905168448
"x_oroteia_purulenta",0.0000781248584988159
"y_encefalopatia_not_due_to_HIV",0.0000770376249753619
"y_celulite",0.0000644476788257264
"x_random_cardiac_signs",0.0000527786660288455
"x_letargia",0.0000352038432528717
"x_polipneia",0.0000319053069520967
"x_adenopatia",0.0000287689375037069
"x_quelite_angular",0.0000266989946423691
"y_outras_doencas_urologicais",0.0000246073187378744
"x_random_urological_signs",0.0000167947058107999
"x_lesoes_da_pele",0.0000157268426582658
"x_lesoes_nodulares",0.00000456941070704785
"y_outras_doencas_dermatologicas",0.00000376983185486291
"x_ulcera",0.00000318779646692448
"y_hemorragia_gastrica",0.00000287165741029641
"x_dor_cabeca",0.00000175981507096811
"x_enlarged_thorax",0
"x_amnesia",0
"x_formigueiro",0
"x_desnutricao",0
"x_anorexia",0
"x_arritmia_cardiaca",0
"x_anemia",0
"x_prostracao",-0.00000469410213330833
"x_solucos",-0.00000814371579192542
"x_dor_abdominal",-0.0000131980744774256
"x_mal_estar",-0.0000186729806182233
"y_pancitopenia",-0.0000232150250675301
"x_anuria",-0.0000395816614977881
"x_convulcao",-0.0000504572906004279
"x_vomito",-0.0000621148189010625
"x_distensao_abdominal",-0.0000819165744432469
"y_pcp",-0.0000829263623963646
"x_hemmorragia_digestiva_baixa",-0.000105170413650524
"x_outros",-0.000113794227171385
"y_insuficiencia_cardiaca",-0.000136657249699721
"y_desequilibrio",-0.00013949698414477
"y_candiase",-0.000147215039708909
"x_crepitacao_pulmonar",-0.000168090337068672
"y_insuficiencia_hepatica",-0.000180497951641099
"x_random_pulmonary_signs",-0.000184496779892221
"x_abcesso",-0.000186593934148818
"x_ferida",-0.000231510472334445
"x_ictericia",-0.000241303883370489
"x_inconsciente",-0.000242298224126808
"x_atralgia",-0.000304248375994612
"y_diareia",-0.000309899813566355
"x_diareia",-0.000312697391155135
"x_cianose",-0.000319090863386469
"x_agitacao",-0.000328874910150949
"x_ascite",-0.00033146132261831
"x_dor_musculoesqueletica",-0.000356464975031692
"x_dispneia",-0.000367565449696892
"x_diminuicao_consciencia",-0.000369289738062194
"y_insuficiencia_resp",-0.000408059208218119
"x_mv",-0.000423541760873801
"y_hiv_sem_sida",-0.00044543564754965
"y_anemia",-0.000505005454402329
"y_gastroenterite",-0.000597854200602416
"y_outros",-0.00068866070755395
"y_sepsis",-0.000688873010362222
"y_hta",-0.000712806741916482
"x_astenia",-0.000830423950560574
"x_palidez",-0.000886156889662164
"x_sinais_de_hemorragia",-0.000924525356060903
"y_sida",-0.00105615110603556
"x_dor_peito",-0.00116365242645032
