Unidade_Sanitaria;Mes;Testados_LR;Testados_FB;Testados_RMUS;Testados_NEP_FISICO;Testados_SIS_MA;Positivos_LR;Positivos_FB;Positivos_RMUS;Positivos_NEP_FISICO;Positivos_SIS_MA;Tratados_ACTs_LR;Tratados_ACTs_FB;Tratados_ACTs_RMUS;Tratados_ACTs_NEP_FISICO;Tratados_ACTs_SIS_MA;Obitos_LR;Obitos_RMUS;Obitos_NEP_FISICO;Obitos_SIS_MA
CS Mascarenhas;Feb;172;;751;751;751;69;;;163;163;69;;199;199;199;;;;
CS Mascarenhas;Mar;460;;;874;874;144;;;628;258;141;;;258;258;;;;
CS Mascarenhas;Apr;202;;983;983;983;41;;65;279;279;41;;279;279;279;;;;
CS Mascarenhas;May;620;;814;814;814;167;;69;238;238;166;;238;238;238;;;;
CS Mascarenhas;Jun;848;;1199;1199;1199;282;;458;458;458;284;;458;458;458;;;;
CS Mascarenhas;Jul;578;;;1201;1201;144;;;338;338;142;;;338;338;;;;
CS Munhava;Feb;1360;4508;4152;4152;4152;219;615;603;613;613;216;598;561;561;561;;;;
CS Munhava;Mar;1670;3538;4358;4358;4358;168;615;352;352;352;164;352;337;337;337;;;;
CS Munhava;Apr;4961;4654;;4618;4618;758;354;;580;580;756;408;;515;515;;;;
CS Munhava;May;3752;4996;4436;4436;4436;689;478;838;838;838;686;802;861;861;861;;;;
CS Munhava;Jun;3268;10;;3832;3832;722;816;;816;816;711;7;;807;807;;;;
CS Munhava;Jul;2960;3499;3904;3904;3904;434;;540;540;540;433;519;525;530;525;;;;
CS Dondo;Feb;1205;2722;2437;2437;2334;502;479;1616;1616;962;507;517;1616;4;966;1;;;
CS Dondo;Mar;1077;2493;3812;3812;3812;358;141;1305;1305;1305;356;560;1308;1308;1308;;;;
CS Dondo;Apr;2073;3462;6195;6195;6195;664;1019;3105;3105;3105;664;1030;3105;3105;3105;;;;
CS Dondo;May;1319;5702;5383;5383;5383;569;2031;1710;1710;1710;569;1669;1710;1710;1710;;;;
CS Dondo;Jun;832;2879;3065;3065;3065;379;1308;1233;1233;1233;396;1264;1695;1695;1695;3;;;
CS Dondo;Jul;1378;;;3410;3410;521;;;1181;1181;521;;;1181;1181;1;;;
CS Mafambisse;Feb;2002;;2633;2633;2633;943;;1040;1040;1040;926;;1000;1000;1000;1;;;
CS Mafambisse;Mar;1535;;2212;2212;2212;489;;654;654;654;488;;647;647;647;;;;
CS Mafambisse;Apr;2795;;3562;3562;3562;800;;1069;1069;1069;793;;1057;1057;1057;;;;
CS Mafambisse;May;2510;;3367;3367;3367;1022;;1342;1342;1342;1113;;1476;386;1476;1;;;
CS Mafambisse;Jun;1953;2454;2471;2471;2471;857;1092;1343;1343;1343;846;;1445;1445;1445;5;;;
CS Mafambisse;Jul;1871;4972;2419;2419;2419;817;872;1067;1067;1067;815;;1048;1048;1048;1;;;
HR Nhamatanda;Feb;1752;1723;2189;2189;;596;561;;;;555;930;649;649;649;2;;;
HR Nhamatanda;Mar;1998;2210;1926;1926;;486;94;;;;447;327;467;467;698;1;3;3;3
HR Nhamatanda;Apr;3498;3746;3726;3516;;1051;1113;1092;1092;;1031;1080;1098;1039;;1;4;4;4
HR Nhamatanda;May;3032;1436;3487;3487;3487;1357;652;1498;1498;1498;1335;604;1501;1501;1501;1;;;
HR Nhamatanda;Jun;2542;1208;3275;3275;3275;1137;337;1428;1428;1428;1052;280;1428;1428;1428;1;1;;1
HR Nhamatanda;Jul;2563;2175;2175;2175;;1048;961;954;954;;973;883;871;883;;1;1;;
CS Cheadeia;Feb;124;135;135;135;135;55;60;60;60;;55;60;60;60;60;;;;
CS Cheadeia;Mar;197;185;185;185;185;58;58;58;58;;57;58;58;58;58;;;;
CS Cheadeia;Apr;255;258;258;258;;54;47;47;47;;51;47;47;47;;;;;
CS Cheadeia;May;210;180;180;180;180;60;65;65;65;65;59;65;65;65;65;;;;
CS Cheadeia;Jun;168;168;168;168;168;62;60;60;60;60;60;60;60;60;60;;;;
CS Cheadeia;Jul;159;167;167;167;167;45;48;48;48;48;44;50;28;52;52;;;;
CS Muanza Sede;Feb;678;;;;704;324;;;;;319;;;;;;;;
CS Muanza Sede;Mar;689;;;748;624;314;;;324;;308;;;296;;;1;1;1
CS Muanza Sede;Apr;816;;;1082;1082;298;;;407;;296;;;380;;1;;;
CS Muanza Sede;May;655;;1093;1093;1091;296;;507;612;612;222;;301;612;612;4;3;3;3
CS Muanza Sede;Jun;549;;803;803;803;295;;453;453;453;295;;413;453;453;;;;
CS Muanza Sede;Jul;228;;516;516;516;80;;186;186;186;47;;186;186;186;;;;
CS Muanza Baixo;Feb;;;122;;132;;;82;;;;;85;;;;;;
CS Muanza Baixo;Mar;34;;120;120;120;20;;70;70;;20;;70;70;;;;;
CS Muanza Baixo;Apr;264;;266;266;266;183;;186;186;;183;;186;186;;;;;
CS Muanza Baixo;May;284;;;;281;203;;;;202;202;;;;202;;;;
CS Muanza Baixo;Jun;238;;252;252;252;180;;194;194;194;180;;195;195;195;;;;
CS Muanza Baixo;Jul;164;;173;173;173;104;;109;109;109;104;;109;109;109;;;;
Eduardo Mondlane;Feb;8888;;7915;;;4805;;4795;4395;4261;4862;;4395;4261;4261;;;;
Eduardo Mondlane;Mar;6303;;5655;;;2617;;3899;3899;3858;2620;;3899;3858;3858;;;;
Eduardo Mondlane;Apr;7931;;10656;;;3404;;5887;5887;5850;3404;;5850;5850;5850;;;;
Eduardo Mondlane;May;6375;;7629;7629;7629;2602;;3488;3488;3488;2582;;3466;3466;3466;;;;
Eduardo Mondlane;Jun;6316;;6508;6508;6508;2693;;2681;2681;2681;2686;;2663;2663;2663;;;;
Eduardo Mondlane;Jul;4399;4606;5620;5620;5620;1475;2239;2257;2257;2257;1469;2233;2253;2253;2253;;;;
CS Vila Nova;Feb;3110;;3805;3805;3805;2225;;3182;3192;3182;1841;;3182;3192;2962;;;;
CS Vila Nova;Mar;3510;604;6256;5956;5956;1790;302;2962;2962;2962;1414;412;3021;3021;3021;;;;
CS Vila Nova;Apr;3713;;3446;3446;3446;1995;;3021;3021;3021;2022;32;1974;1974;1974;;;;
CS Vila Nova;May;3104;32;3882;3882;3882;1449;32;2042;2042;2042;1417;;1561;1561;1661;;;;
CS Vila Nova;Jun;2919;186;3450;3450;3460;1317;101;1563;1563;1563;1298;99;891;891;891;;;;
CS Vila Nova;Jul;1781;99;2940;2940;2940;646;99;125;891;891;618;;;;;;;;
HD Manica;Feb;525;420;;;;318;183;;;;293;123;;;;;;;
HD Manica;Mar;3462;395;;;;1843;210;;5910;;1826;175;;5910;;;2;2;
HD Manica;Apr;5625;452;9341;8757;9341;3398;262;5757;5740;5744;3189;15;3479;5707;3479;1;;1;
HD Manica;May;4422;110;3483;6508;3480;2314;46;2052;4470;2036;2573;;2025;4440;2625;2;1;1;
HD Manica;Jun;4967;181;;;;1936;3;;;;1900;;;;;1;1;;
HD Manica;Jul;2726;320;;4566;;938;243;;2722;;923;;;2722;;1;;;
CS Messica;Feb;3581;2612;3759;;3759;2874;;3031;;3031;2872;1923;2967;;2967;;;;
CS Messica;Mar;3350;2696;3251;3251;2364;2207;;2319;2319;31;2198;1923;2308;2272;;;;;
CS Messica;Apr;5379;3463;3561;3561;3561;3601;;2413;2334;2413;3583;2084;2404;2463;2404;;;;
CS Messica;May;1555;3312;3385;3383;3385;956;7;2473;2473;2473;949;;2382;2382;2382;;;;
CS Messica;Jun;3677;2846;2908;;2908;2659;2451;1937;;1937;2656;750;1844;;1844;;;;
CS Messica;Jul;626;1543;2068;2068;2068;337;;1319;1319;1311;337;1283;1283;1283;1283;;;;
HD Gondola;Feb;2131;924;;5995;5992;1705;56;;4763;4763;2538;53;;4763;4763;5;;;2
HD Gondola;Mar;2246;2903;;4752;4752;1601;971;;2893;2893;1811;;;2891;2891;6;3;3;3
HD Gondola;Apr;4035;2942;;6757;6757;3161;2230;;4276;4276;3444;140;;4776;4276;4;;;2
HD Gondola;May;5517;2229;;9531;9331;4313;1869;;4309;4309;4385;14;;4309;4309;;2;2;2
HD Gondola;Jun;2655;;;7205;6705;3047;;;3964;3964;3122;;;3897;3897;4;1;1;1
HD Gondola;Jul;2970;;;7027;7027;2218;;;3323;3323;2221;;;3292;3292;3;2;2;2
CS Inchope;Feb;224;;1611;1611;1611;174;;569;569;569;744;;569;569;;;;;
CS Inchope;Mar;567;;1056;1056;1056;326;;582;582;582;770;;582;582;582;;;;
CS Inchope;Apr;1359;;1227;1273;1273;919;;720;720;720;978;;720;720;730;;;;
CS Inchope;May;1002;;1856;1852;1852;855;;993;993;993;977;;993;993;993;;;;
CS Inchope;Jun;1027;;1182;1182;1182;986;;274;803;803;983;;818;803;723;;;;
CS Inchope;Jul;596;;995;995;1012;563;;601;601;607;563;;601;601;607;;;;
