"provincia","sexo","idade_gt7","variable","value","count","percent"
"MANICA","FEMININO",0,"anos","10",1,"1.8"
"MANICA","FEMININO",0,"anos","15",1,"1.8"
"MANICA","FEMININO",0,"anos","16",4,"7"
"MANICA","FEMININO",0,"anos","17",3,"5.3"
"MANICA","FEMININO",0,"anos","18",2,"3.5"
"MANICA","FEMININO",0,"anos","19",2,"3.5"
"MANICA","FEMININO",0,"anos","2",1,"1.8"
"MANICA","FEMININO",0,"anos","20",3,"5.3"
"MANICA","FEMININO",0,"anos","21",1,"1.8"
"MANICA","FEMININO",0,"anos","22",4,"7"
"MANICA","FEMININO",0,"anos","23",1,"1.8"
"MANICA","FEMININO",0,"anos","24",5,"8.8"
"MANICA","FEMININO",0,"anos","25",1,"1.8"
"MANICA","FEMININO",0,"anos","26",3,"5.3"
"MANICA","FEMININO",0,"anos","27",1,"1.8"
"MANICA","FEMININO",0,"anos","28",4,"7"
"MANICA","FEMININO",0,"anos","29",1,"1.8"
"MANICA","FEMININO",0,"anos","32",3,"5.3"
"MANICA","FEMININO",0,"anos","33",1,"1.8"
"MANICA","FEMININO",0,"anos","34",1,"1.8"
"MANICA","FEMININO",0,"anos","35",2,"3.5"
"MANICA","FEMININO",0,"anos","36",1,"1.8"
"MANICA","FEMININO",0,"anos","37",1,"1.8"
"MANICA","FEMININO",0,"anos","40",1,"1.8"
"MANICA","FEMININO",0,"anos","41",1,"1.8"
"MANICA","FEMININO",0,"anos","42",1,"1.8"
"MANICA","FEMININO",0,"anos","49",1,"1.8"
"MANICA","FEMININO",0,"anos","52",1,"1.8"
"MANICA","FEMININO",0,"anos","59",1,"1.8"
"MANICA","FEMININO",0,"anos","6",2,"3.5"
"MANICA","FEMININO",0,"anos","68",1,"1.8"
"MANICA","FEMININO",0,"anos","8",1,"1.8"
"MANICA","FEMININO",0,"dif_fica_pe","NENHUMA",44,"77.2"
"MANICA","FEMININO",0,"dif_fica_pe","PEQUENA",8,"14"
"MANICA","FEMININO",0,"dif_fica_pe","ALGUMA",4,"7"
"MANICA","FEMININO",0,"dif_fica_pe","MUITA",1,"1.8"
"MANICA","FEMININO",0,"dif_casa","NENHUMA",43,"75.4"
"MANICA","FEMININO",0,"dif_casa","PEQUENA",11,"19.3"
"MANICA","FEMININO",0,"dif_casa","ALGUMA",1,"1.8"
"MANICA","FEMININO",0,"dif_casa","MUITA",2,"3.5"
"MANICA","FEMININO",0,"dif_tarefa_nova","NENHUMA",39,"68.4"
"MANICA","FEMININO",0,"dif_tarefa_nova","PEQUENA",15,"26.3"
"MANICA","FEMININO",0,"dif_tarefa_nova","ALGUMA",3,"5.3"
"MANICA","FEMININO",0,"dif_comunidade","NENHUMA",45,"78.9"
"MANICA","FEMININO",0,"dif_comunidade","PEQUENA",10,"17.5"
"MANICA","FEMININO",0,"dif_comunidade","ALGUMA",2,"3.5"
"MANICA","FEMININO",0,"dif_concentrar","NENHUMA",42,"73.7"
"MANICA","FEMININO",0,"dif_concentrar","PEQUENA",11,"19.3"
"MANICA","FEMININO",0,"dif_concentrar","ALGUMA",1,"1.8"
"MANICA","FEMININO",0,"dif_concentrar","MUITA",3,"5.3"
"MANICA","FEMININO",0,"dif_andar","NENHUMA",41,"71.9"
"MANICA","FEMININO",0,"dif_andar","PEQUENA",11,"19.3"
"MANICA","FEMININO",0,"dif_andar","ALGUMA",5,"8.8"
"MANICA","FEMININO",0,"dif_banho","NENHUMA",56,"98.2"
"MANICA","FEMININO",0,"dif_banho","ALGUMA",1,"1.8"
"MANICA","FEMININO",0,"dif_vestir","NENHUMA",56,"98.2"
"MANICA","FEMININO",0,"dif_vestir","MUITA",1,"1.8"
"MANICA","FEMININO",0,"dif_socializar","NENHUMA",46,"80.7"
"MANICA","FEMININO",0,"dif_socializar","PEQUENA",9,"15.8"
"MANICA","FEMININO",0,"dif_socializar","MUITA",2,"3.5"
"MANICA","FEMININO",0,"dif_amizade","NENHUMA",46,"80.7"
"MANICA","FEMININO",0,"dif_amizade","PEQUENA",10,"17.5"
"MANICA","FEMININO",0,"dif_amizade","ALGUMA",1,"1.8"
"MANICA","FEMININO",0,"dif_trabalho","NENHUMA",48,"84.2"
