"","provincia","sexo","idade_gt7","variable","value","count","percent"
"1","MANICA","FEMININO",0,"dif_fica_pe","ALGUMA",4,"6.3"
"2","MANICA","FEMININO",0,"dif_fica_pe","MUITA",1,"1.6"
"3","MANICA","FEMININO",0,"dif_fica_pe","NENHUMA",49,"77.8"
"4","MANICA","FEMININO",0,"dif_fica_pe","PEQUENA",9,"14.3"
"5","MANICA","FEMININO",0,"dif_casa","ALGUMA",1,"1.6"
"6","MANICA","FEMININO",0,"dif_casa","MUITA",2,"3.2"
"7","MANICA","FEMININO",0,"dif_casa","NENHUMA",48,"76.2"
"8","MANICA","FEMININO",0,"dif_casa","PEQUENA",12,"19"
"9","MANICA","FEMININO",0,"dif_tarefa_nova","ALGUMA",3,"4.8"
"10","MANICA","FEMININO",0,"dif_tarefa_nova","MUITA",1,"1.6"
"11","MANICA","FEMININO",0,"dif_tarefa_nova","NENHUMA",42,"66.7"
"12","MANICA","FEMININO",0,"dif_tarefa_nova","PEQUENA",17,"27"
"13","MANICA","FEMININO",0,"dif_comunidade","ALGUMA",2,"3.2"
"14","MANICA","FEMININO",0,"dif_comunidade","MUITA",1,"1.6"
"15","MANICA","FEMININO",0,"dif_comunidade","NENHUMA",50,"79.4"
"16","MANICA","FEMININO",0,"dif_comunidade","PEQUENA",10,"15.9"
"17","MANICA","FEMININO",0,"dif_concentrar","ALGUMA",2,"3.2"
"18","MANICA","FEMININO",0,"dif_concentrar","MUITA",3,"4.8"
"19","MANICA","FEMININO",0,"dif_concentrar","NENHUMA",45,"71.4"
"20","MANICA","FEMININO",0,"dif_concentrar","PEQUENA",13,"20.6"
"21","MANICA","FEMININO",0,"dif_andar","ALGUMA",5,"7.9"
"22","MANICA","FEMININO",0,"dif_andar","NENHUMA",47,"74.6"
"23","MANICA","FEMININO",0,"dif_andar","PEQUENA",11,"17.5"
"24","MANICA","FEMININO",0,"dif_banho","ALGUMA",1,"1.6"
"25","MANICA","FEMININO",0,"dif_banho","NENHUMA",62,"98.4"
"26","MANICA","FEMININO",0,"dif_vestir","MUITA",1,"1.6"
"27","MANICA","FEMININO",0,"dif_vestir","NENHUMA",62,"98.4"
"28","MANICA","FEMININO",0,"dif_socializar","ALGUMA",1,"1.6"
"29","MANICA","FEMININO",0,"dif_socializar","MUITA",3,"4.8"
"30","MANICA","FEMININO",0,"dif_socializar","NENHUMA",50,"79.4"
"31","MANICA","FEMININO",0,"dif_socializar","PEQUENA",9,"14.3"
"32","MANICA","FEMININO",0,"dif_amizade","ALGUMA",1,"1.6"
"33","MANICA","FEMININO",0,"dif_amizade","NENHUMA",50,"79.4"
"34","MANICA","FEMININO",0,"dif_amizade","PEQUENA",12,"19"
"35","MANICA","FEMININO",0,"dif_trabalho","ALGUMA",1,"1.6"
"36","MANICA","FEMININO",0,"dif_trabalho","MUITA",1,"1.6"
"37","MANICA","FEMININO",0,"dif_trabalho","NENHUMA",53,"84.1"
"38","MANICA","FEMININO",0,"dif_trabalho","PEQUENA",8,"12.7"
"39","MANICA","FEMININO",0,"dif_emocional","ALGUMA",5,"7.9"
"40","MANICA","FEMININO",0,"dif_emocional","MUITA",2,"3.2"
"41","MANICA","FEMININO",0,"dif_emocional","NENHUMA",44,"69.8"
